Deal,Kind,Area,High,LNC,Tempatrue,humidity,Sun,CO2,SoilWater,SoilZTemp,KNO3,NH4H2PO4,KH2PO4,K2SO4,MgSO4.7H2O,CaCl2,CaNO3.4H2O,data0,data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,Area_true,High_true
0,0,0.049719019,0.054718035,0.198113208,0.790751827,0.176256977,0.697745311,1,0.7604196,0.466394624,0.331683168,1,0,0.665391969,0.0,1,0,0.08059613,0.080702477,0.080590791,0.080660475,0.080706505,0.080629241,0.080670476,0.08055018,0.08066952,0.080589754,0.080754684,0.08079888,0.080636928,0.080701464,0.08067616,0.080714465,248.3,20.8
0,0,0.06429845,0.061418202,0.245283019,0.65853293,0.07938373,0.5493077,0.708643574,0.747673568,0.494719171,0.331683168,1,0,0.665391969,0,1,0,0.143575889,0.143680259,0.143573147,0.143662545,0.143675762,0.143553646,0.143652336,0.143551714,0.143641953,0.143652805,0.143762575,0.143749705,0.143586601,0.143639404,0.143607165,0.143673748,312.9,22
0,0,0.07887788,0.068676717,0.245283019,0.371806372,0.114700982,0.401456239,0.211719003,0.721391906,0.357897263,0.331683168,1,0,0.665391969,0,1,0,0.132529856,0.132613984,0.132541572,0.132526803,0.132534995,0.13251508,0.132462817,0.132422039,0.132546563,0.132523949,0.132586446,0.132606113,0.132512639,0.132588145,0.13260735,0.132593998,377.5,23.3
0,0,0.093457311,0.075376884,0.245283019,0.544477705,0.200488645,0.62304456,0.57122046,0.842761262,0.192750849,0.331683168,1,0,0.665391969,0,1,0,0.108418731,0.108610339,0.108485536,0.108583216,0.108562404,0.10839968,0.108519057,0.108455031,0.108531388,0.108489256,0.108543063,0.108648961,0.10846757,0.10852109,0.108530925,0.108557994,442.1,24.5
0,0,0.108059311,0.082635399,0.245283019,0.670542237,0.153663013,0.295924347,0.669148592,0.958152381,0.213874229,0.331683168,1,0,0.665391969,0,1,0,0.080131723,0.080296819,0.080229038,0.080234719,0.080222307,0.080161046,0.080181333,0.080154506,0.080181986,0.080200223,0.080242627,0.080225121,0.080202496,0.080254859,0.080183121,0.080261359,506.8,25.8
0,0,0.122638742,0.089335567,0.245283019,0.54750498,0.296974721,0.296354182,0.173033344,0.954881276,0.29524726,0.331683168,1,0,0.665391969,0,1,0,0.177974864,0.178133524,0.178076958,0.178018104,0.178046194,0.177948478,0.178093814,0.177951807,0.178075392,0.178030636,0.178071525,0.178083463,0.17803946,0.178072061,0.178032348,0.178097151,571.4,27
0,0,0.137218172,0.096594082,0.245283019,0.596906187,0.550096586,0.387831661,0.277274199,0.912526062,0.278444543,0.331683168,1,0,0.665391969,0,1,0,0.272852204,0.272938835,0.272830166,0.272868854,0.272909872,0.272890458,0.272921345,0.272880977,0.272839947,0.272766822,0.272933822,0.273019117,0.272831125,0.272910809,0.272864058,0.272943122,636,28.3
0,0,0.151797603,0.103294249,0.245283019,0.756986016,0.291670006,0.667878024,0.574457753,0.881506944,0.282045124,0.331683168,1,0,0.665391969,0,1,0,0.348504992,0.348555471,0.348554591,0.34850151,0.348544619,0.348497262,0.348524417,0.348493322,0.348552491,0.348450941,0.348569071,0.348641491,0.348464948,0.348540066,0.348580683,0.348563288,700.6,29.5
0,0,0.16017062,0.118369626,0.245283019,0.699051908,0.254127623,0.360217782,0.433635481,0.902938358,0.339654349,0.331683168,1,0,0.665391969,0,1,0,0.368322372,0.368389264,0.368326161,0.368401817,0.368358128,0.368254284,0.368322497,0.368266698,0.368337238,0.368394386,0.368443439,0.368451097,0.368328908,0.36833719,0.368330232,0.368417246,737.7,32.2
0,0,0.168521068,0.13400335,0.245283019,0.001297407,0.759592545,0.008596772,0,0.917263539,0.190110417,0.331683168,1,0,0.665391969,0,1,0,0.357119834,0.3572217,0.35721306,0.357209655,0.357100951,0.357124749,0.357147098,0.357072222,0.357070669,0.35714963,0.35718521,0.357216489,0.357114651,0.357089926,0.357159489,0.357204076,774.7,35
